primary_key;zipcode;city;state;community;latitude;longitude,,
1;01945;Grünewald;Brandenburg;Landkreis Oberspreewald-Lausitz;51.4;14.0,,
2;01945;Lindenau;Brandenburg;Landkreis Oberspreewald-Lausitz;51.4;13.7333,,
3;01945;Hohenbocka;Brandenburg;Landkreis Oberspreewald-Lausitz;51.431;14.0098,,
4;01945;Schwarzbach;Brandenburg;Landkreis Oberspreewald-Lausitz;51.45;13.9333,,
5;01945;Guteborn;Brandenburg;Landkreis Oberspreewald-Lausitz;51.4167;13.9333,,
6;01945;Hermsdorf;Brandenburg;Landkreis Oberspreewald-Lausitz;51.4055;13.8937,,
7;01945;Ruhland;Brandenburg;Landkreis Oberspreewald-Lausitz;51.4576;13.8664,,
8;01945;Tettau;Brandenburg;Landkreis Oberspreewald-Lausitz;51.4333;13.7333,,
9;01945;Kroppen;Brandenburg;Landkreis Oberspreewald-Lausitz;51.3833;13.8,,
10;01968;Schipkau Hörlitz;Brandenburg;Landkreis Oberspreewald-Lausitz;51.5299;13.9508,,
